Item Code,Item Code,Product,Order Quantity (Box),Price (box),Order Value,Order Value,Weight (Kg),Weight (Kg)
BP401,FPBC101,Masala Beans,,52.91,0,0,0,0
BP402,FPBC102,Daal,,32.39,0,0,0,0
BP440,FPBC105,Mogo Sauce,,9,0,0,0,0
BP460,FPBC106,Paneer Sauce,,43.26,0,0,0,0
BP461,FF709,Chilli Chutney,,11,0,0,0,0
BP447,FPBC107,Pau Bhaji,,25.5,0,0,0,0
BP404,FF715,Kunafa Pisatchio Mix,,16.1,0,0,0,0
DP127,FPFC208,Gajar Halwa (1 piece),,30,0,0,0,0
BP405,FPFC209,Gulab Jaman (1 piece),,52.02,0,0,0,0
BP442,FPBC103,Butter Chicken,,51,0,0,0,0
BP443,FPFC206,Roti (50 per box),,1,0,0,0,0
DP196,FF722,Orange Juice (12x250ml),,127.62,0,0,0,0
DP197,FF686,Mini Sugared Doughnuts 13.5g (4x1),,1,0,0,0,0
BP462,FF690,Triple Belgium Choclate (36 x 80g),,120,0,0,0,0
DP193,FF691,Belgian Choclate Chunk Cookie (36x80g),,120,0,0,0,0
BP446,FF721,Victoria Sponge Swirl (12 per box),,36.12,0,0,0,0
BP409,FF720,Chocolate Hazelnut Cake (12 per box),,17.7,0,0,0,0
DP218,FF719,Biscoff Cookie Pie (16 per box),,39.5,0,0,0,0
BP406,FF718,Rocky Road Cheesecake (16 per box),,99,0,0,0,0
BP407,FF717,Chocolate Dream Cake (16 per box),,1,0,0,0,0
DP237,FF716,NY Vanilla Cheesecake (16 per box),,1.7,0,0,0,0
DP194,FF711,Biscoff Milk Cake 12 pack,,79,0,0,0,0
DP195,FF710,Pistachio Milk Cake 12 pack,,1,0,0,0,0
DP215,FF726,Date and Banana Milk Cake,,38,0,0,0,0
DP216,FF700,Bhaklava Fudge Cake,,1,0,0,0,0
DP247,FF640,Chaii Cake,,31.25,0,0,0,0
DP248,FPFC234,Cheesecake Gulab Jamun (16 per box),,23.43,0,0,0,0
