item_code,alt_item_code,product,price_box
BP401,FPBC101,Masala Beans,52.91
BP402,FPBC102,Daal,32.39
BP440,FPBC105,Mogo Sauce,9
BP460,FPBC106,Paneer Sauce,43.26
BP461,FF709,Chilli Chutney,11
BP447,FPBC107,Pau Bhaji,25.5
BP404,FF715,Kunafa Pisatchio Mix,16.1
DP127,FPFC208,Gajar Halwa (1 piece),30
BP405,FPFC209,Gulab Jaman (1 piece),52.02
BP442,FPBC103,Butter Chicken,51
BP443,FPFC206,Roti (50 per box),1
DP196,FF722,Orange Juice (12x250ml),127.62
DP197,FF686,Mini Sugared Doughnuts 13.5g (4x1),1
BP462,FF690,Triple Belgium Choclate (36 x 80g),120
DP193,FF691,Belgian Choclate Chunk Cookie (36x80g),120
BP446,FF721,Victoria Sponge Swirl (12 per box),36.12
BP409,FF720,Chocolate Hazelnut Cake (12 per box),17.7
DP218,FF719,Biscoff Cookie Pie (16 per box),39.5
BP406,FF718,Rocky Road Cheesecake (16 per box),99
BP407,FF717,Chocolate Dream Cake (16 per box),1
DP237,FF716,NY Vanilla Cheesecake (16 per box),1.7
DP194,FF711,Biscoff Milk Cake 12 pack,79
DP195,FF710,Pistachio Milk Cake 12 pack,1
DP215,FF726,Date and Banana Milk Cake,38
DP216,FF700,Bhaklava Fudge Cake,1
DP247,FF640,Chaii Cake,31.25
DP248,FPFC234,Cheesecake Gulab Jamun (16 per box),23.43
DP249,FPFC219,Rose Ice Cream (5L),8.13
BP413,FPFC220,Mango Ice Cream (5L),5
BP459,FPFC224,Vanilla Ice Cream (5L),5
BP420,FPG303,Frozen Paratha (120) per box),3
BP421,FPG305,Frozen mogo chips (500g x 20 per box),5
BP422,FPG339,Chicken Seekh Kebab,5
BP423,FPG340,Veg Kebab,5
BP424,FF727,Chicken Nuggets (6x1kg),5
BP425,FF728,Hot N Spicy Chicken Fillets (6x900g),5
BP426,FF729,Chicken Biryani (40x350g),5
BP427,BBF311,Hashbrowns 4x2.5kg,5
BP428,FPG309,Mozzarella Cheese (6x 2kg per box),5
BP429,FPG310,Frozen Chips (4x2.5kg),5
BP430,FF611,Chicken Tikka Boti,3
BP431,FF614,Karach Bun Kebab Patty,3
BP432,FF617,Large Samosa (10x6),3
BP433,FF664,Breakfast Chicken Sausages (55g),3
BP451,FF619,Aloo Tikki ,3
BP449,FF724,Vada (90x70g),3
BP434,FF624,Aloo Paratha,5
BP435,FF625,Poori,5
BP436,DF374,Mango Chutney (10kg) ,3
BP437,FF663,Macon Halal (6x200x15pcs),5
BP438,FF712,Baguettes (40 per box),3
BP439,FF641,Halwa,5
BP450,FPBC112,Channa,6
BP457,FF696,Tomato Sauce (12kg),5
BP452,FF698,Rice Basmati (8kg),5
BP453,FF708,Diced Frozen Strawberry 10kg,5
BP454,FF699,Bombay Sandwiches (15 per case),5
BP458,FF667,Kheema Mix 500g,5
BP464,FF648,Pasty Chicken Sausage Roll (90g),5
BP465,FF649,Chicken Tikka Pasties (150g),5
BP469,FF650,Cheese & Jalapeno Pasties (150g),3
DP168,FF677,Chicken & Sweetcorn Pasties (150g),5
DP170,,,5
DP171, Dry Food ,,5
DP173,Item Code,Product,5
DP175,FPBC109,Limbu Pani (5L),5
DP176,FPFC210,Pink Chaii Mix (50 per box),5
DP178,FPFC201,Garam Choc (10 x 1 kg),5
DP169,DF409,Karak Chaii (25 per box),10
DP188,FPFC203,Karak Coffee (50 per box),10
DP190,FPFC204,Karak Chaii Sugar free (50 per box),5.7
DP191,FPFC205,Chaii Latte (1kg),5.7
DP192,DF427,Vegan Chaii Powder,5.7
DP198,FPFC227,Monin Gingerbread Syrup (1L),5
DP199,FPFC228,Monin Caramel Syrup (1L),5
DP200,FPG306,Lemon Tea Syrup (1L),5
DP201,DF440,French Vanilla syrup (1L),5
DP202,FPFC240,Blue Curacao Syrup (70cl),5
DP203,FPFC239,Strawberry Syrup SF (1L),5
DP204,DF479,Rooh Afza Syrup (12x800ml),5
DP205,DF480,Watermelon & Lime Syrup (1.5L),5
DP206,DF481,Tahitian Lime & Mint (1.5L),5
DP207,DF421,Speculouse Sauce (1kg),5
DP208,DF444,Raspberry Topping Sauce (1kg),5
DP209,DF442,Pistachio Sauce (1L),5
DP210,DF451,Luxury White Chocolate Sauce,5
DP211,BBA210,Milk Choc Topping Sauce,5
DP212,DF422,Frappe Powder (2kg),5
DP213,DF470,Chicken Tikka Crisps x 24,5
DP214,DF456,Chilli & Lime Crisps x 24,5
DP219,DF457,Decaf Coffee Beans,5
DP220,DF450,Coffee Beans,5
DP221,FPFC214,Cake Rusk (50 per box),5
DP222,FPFC216,Bombay Mix (40x50g),5
DP223,FPFC218,Tandoori Peanuts (40x50g),5
DP224,FPFC215,Chilli Lemon Corn Nuts (40x50g),5
DP225,DF473,Madeira Loaf Cake (24),5
DP226,DF472,Blueberry Muffin (20),5
DP227,DF471,Belgian choclate Muffin (20),5
DP228,FPFC235,Zesty Fruit Granola Bar (24),5
DP244,FPFC232,Belgian Caramel Shortbread (24),4.2
DP250,DF448,Chocolate Krispy (24),5
DP251,FPFC223,Parle-G (144 per box),5
DP252,FPFC229,Omelette Mix ,5
DP253,DF430,Gunpowder Spice Mix (5x1kg),5
DP254,DF433,Chaat Masala (10x500g) ,5
DP255,FPG307,Falooda mix Rose (20 per pack),5
DP256,FPG308,Falooda mix Mango (20 per pack),5
DP235,FPG314,White Sugar Sachets (1000 per box),19.76
DP236,FPG315,Brown Sugar Sachets (1000 per box),21.5
PP503,FPG316,Salt Sachets (2000 per box),36
PP504,FPG317,Pepper Sachets (2000 per box),27.87
PP539,FPG302,Yogurt and Mint Sauce,30.25
PP538,FPG311,Burger Relish,30.25
PP537,DF381,Tamarind Sauce,30.25
PP509,DF452,Onion Chutney,17.15
PP511,DF459,Chick Peas,28.52
PP512,DF477,Poppadom Pellets (13kg),28.52
PP514,DF478,Crispy Fried Onions (12X300G),13.81
PP515,DF431,Sofra Cheese,5.79
PP516,FPBC108,Masala Sauce for Chips/Sandwiches,55
PP518,DF388,Naan,42
PP520,DF429,Paani,10
,DF428,Puri,
Drinks,DF395,Chaiiwala Honey,
Item Code,DF423,Honey Tubs (1.36kg),Price
FPG359,,,17.99
FPG362,Misc,,17.99
FPG347,Item Code,Product,25
FPG349,Other027,Small Urn (25 cup),25
FPG351,Other028,Medium Urn (50 cup),25
FPG352,Other029,Large Urn (100 cup),17.49
FPG353,Other030,Extra Large Urn (200 cup),10.69
FPG354,Other015,Faucet Kit (Tap for Urn),10.69
FPG355,Other016,Spout Kit (Screw for Urn),10.99
FPG356,SE888,Urn Vent Caps,10.99
FPG357,SE900,Urn Clip,4.49
FPG358,Other017,Small Urn Gasket (Rubber),4.49
,Other018,Medium/Large Urn Gasket (Rubber),
,Other019,Extra Large Urn Gasket (Rubber),
Total Order Value:,SE898,Coffee Machine Cleaner,
,BP441,Safet and Cleaning LOG,
Total Order Weight:,BP471,Crib Sheets,
,SE896,Roband Grill Sheets (10 per box),
Total Number of Boxes:,SE897,Till Rolls (80x76),
,BP414,Large Thali,
,BP418,Small Thali,
,BP415,Steel bowls,
,SE895,Steel Jugs (12 per pack),
,SE883,Large Milk Pans,
,SE901,Omelette Pan,
,Other008,5ltr Napoli containers,
,Other037,Monin 70cl Pump,
,Other037,Monin 1ltr Pump,
,SE887,Chaiiwala Pumps,
,Other009,3000ml Jugs for eggs and faloodas,
,NHSPP8,Sanatiser,
,PP524,Black Baskets,
,,,
