col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,Category
BP401,Leak-proof box for sandwiches/cheesecakes,450,,52.91,0,0,FPBC101,Masala Beans,8,12,,44.43,0,0,,Frozen Food
BP402,Hot drink cups 8oz,500,,32.39,0,0,FPBC102,Daal,8,12,,44.57,0,0,,Frozen Food
BP440,Sip through lids,1000,,9,0,0,FPBC105,Mogo Sauce,12,8,,36.6,0,0,,Frozen Food
BP460,Large 12oz Cups,500,,43.26,0,0,FPBC106,Paneer Sauce,6,24,,56.08,0,0,,Frozen Food
BP461,Large 12oz Lids,1000,,11,0,0,FF709,Chilli Chutney,,12,,54.53,0,0,,Frozen Food
BP447,4oz Hot Drink Cup,1000,,25.5,0,0,FPBC107,Pau Bhaji,8,8,,40.8,0,0,,Frozen Food
BP404,Greaseproof paper Chaiiwala times paper,1000,,16.1,0,0,FF715,Kunafa Pisatchio Mix,16,8,,48.4,0,0,,Frozen Food
DP127,Printed Greaseproof Paper Bag,1000,,30,0,0,FPFC208,Gajar Halwa (1 piece),1,1,,1.34,0,0,,Frozen Food
BP405,Chaiiwala Napkins,6000,,52.02,0,0,FPFC209,Gulab Jaman (1 piece),1,1,,1.38,0,0,,Frozen Food
BP442,12oz Chaiiwala PET cup,500,,51,0,0,FPBC103,Butter Chicken,25,8,,85,0,0,,Frozen Food
BP443,12oz Chaiiwala PET dome lids,500,,1,0,0,FPFC206,Roti (50 per box),50,1,,12.85,0,0,,Frozen Food
DP196,16oz Chaiiwala PET cup,1000,,127.62,0,0,FF722,Orange Juice (12x250ml),12,1,,14.25,0,0,,Frozen Food
DP197,16oz Chaiiwala PET dome lids,1000,,1,0,0,FF686,Mini Sugared Doughnuts 13.5g (4x1),5,4,,14.41,0,0,,Frozen Food
BP462,Chaiiwala Mugs,60,,120,0,0,FF690,Triple Belgium Choclate (36 x 80g),36,36,,17.93,0,0,,Frozen Food
DP193,6 Cup Chaii Carrier,100,,120,0,0,FF691,Belgian Choclate Chunk Cookie (36x80g),36,36,,17.93,0,0,,Frozen Food
BP446,Printed paper carrier bag EXTRA LARGE,250,,36.12,0,0,FF721,Victoria Sponge Swirl (12 per box),1,12,,13.56,0,0,,Frozen Food
BP409,Printed paper carrier bag MEDIUM,250,,17.7,0,0,FF720,Chocolate Hazelnut Cake (12 per box),1,12,,15.72,0,0,,Frozen Food
DP218,Printed No Handle Takeaway Bags,400,,39.5,0,0,FF719,Biscoff Cookie Pie (16 per box),1,16,,22,0,0,,Frozen Food
BP406,Printed Dessert Container ,1000,,99,0,0,FF718,Rocky Road Cheesecake (16 per box),1,16,,19.84,0,0,,Frozen Food
BP407,Dessert Container Lid,1000,,1,0,0,FF717,Chocolate Dream Cake (16 per box),1,16,,33.2,0,0,,Frozen Food
DP237,Dome Lids for dessert Container,50,,1.7,0,0,FF716,NY Vanilla Cheesecake (16 per box),1,16,,20.12,0,0,,Frozen Food
DP194,Printed Sleeve Slider box ,500,,79,0,0,FF711,Biscoff Milk Cake 12 pack,1,12,,22.5,0,0,,Frozen Food
DP195,Slider box Insert,500,,1,0,0,FF710,Pistachio Milk Cake 12 pack,1,12,,22.5,0,0,,Frozen Food
DP215,Printed Rice Bowl,300,,38,0,0,FF726,Date and Banana Milk Cake,1,30,,83.33,0,0,,Frozen Food
DP216,Printed Rice Bowl Lid,300,,1,0,0,FF700,Bhaklava Fudge Cake,1,16,,17.43,0,0,,Frozen Food
DP247,Kids Meal Boxes,250,,31.25,0,0,FF640,Chaii Cake,12,1,,13,0,0,,Frozen Food
DP248,Kids Booklets,250,,23.43,0,0,FPFC234,Cheesecake Gulab Jamun (16 per box),16,1,,27,0,0,,Frozen Food
DP249,Crayons,100,,8.13,0,0,FPFC219,Rose Ice Cream (5L),60,1,,10.94,0,0,,Frozen Food
BP413,Teapot logo STICKER,500,,5,0,0,FPFC220,Mango Ice Cream (5L),60,1,,10.94,0,0,,Frozen Food
BP459,Use by Sticker,1000,,5,0,0,FPFC224,Vanilla Ice Cream (5L),60,1,,8.04,0,0,,Frozen Food
BP420,Coffee STICKER,1000,,3,0,0,FPG303,Frozen Paratha (120) per box),120,1,,22,0,0,,Frozen Food
BP421,Sweet paratha  STICKER,500,,5,0,0,FPG305,Frozen mogo chips (500g x 20 per box),6,20,,41.33,0,0,,Frozen Food
BP422,Paneer  STICKER,500,,5,0,0,FPG339,Chicken Seekh Kebab,100,1,,46.44,0,0,,Frozen Food
BP423,Mogo  STICKER,500,,5,0,0,FPG340,Veg Kebab,100,1,,46.44,0,0,,Frozen Food
BP424,Samosa  STICKER,500,,5,0,0,FF727,Chicken Nuggets (6x1kg),51,6,,28.75,0,0,,Frozen Food
BP425,Butter chicken  STICKER,500,,5,0,0,FF728,Hot N Spicy Chicken Fillets (6x900g),54,6,,40.5,0,0,,Frozen Food
BP426,Tarelli roti  STICKER,500,,5,0,0,FF729,Chicken Biryani (40x350g),40,40,,93.33,0,0,,Frozen Food
BP427,Omelette wrap STICKER,500,,5,0,0,BBF311,Hashbrowns 4x2.5kg,80,4,,20.98,0,0,,Frozen Food
BP428,Nutella wrap STICKER,500,,5,0,0,FPG309,Mozzarella Cheese (6x 2kg per box),66,6,,69.25,0,0,,Frozen Food
BP429,Masala chips STICKER,500,,5,0,0,FPG310,Frozen Chips (4x2.5kg),12.5,4,,15.72,0,0,,Frozen Food
BP430,Sugar free STICKER,1000,,3,0,0,FF611,Chicken Tikka Boti,8.5,18,,122.63,0,0,,Frozen Food
